City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,60.01,68,1,7.0,NZ,1613103828
1,new norfolk,-42.7826,147.0587,72.0,52,24,8.99,AU,1613103570
2,kamareddi,18.3167,78.35,81.59,31,42,4.88,IN,1613104343
3,sisimiut,66.9395,-53.6735,5.4,78,0,8.01,GL,1613104268
4,victoria,22.2855,114.1577,71.01,56,0,5.99,HK,1613103554
5,saint-pierre,-21.3393,55.4781,84.2,65,0,18.41,RE,1613103847
6,kamarion,36.8,25.8167,59.0,51,0,8.99,GR,1613104344
7,westport,41.1415,-73.3579,26.6,46,1,9.22,US,1613103892
8,rikitea,-23.1203,-134.9692,79.39,65,69,3.36,PF,1613103819
9,honningsvag,70.9821,25.9704,19.4,73,0,18.41,NO,1613103880
10,mataura,-46.1927,168.8643,60.01,68,0,7.0,NZ,1613103833
11,hilo,19.7297,-155.09,73.4,68,75,5.75,US,1613103639
12,mar del plata,-38.0023,-57.5575,70.0,88,90,12.66,AR,1613103556
13,nyuksenitsa,60.4128,44.2397,-2.52,92,100,3.69,RU,1613104345
14,verkhnevilyuysk,63.4453,120.3167,-13.14,88,85,4.43,RU,1613103862
15,atuona,-9.8,-139.0333,79.66,74,0,9.91,PF,1613103560
16,port elizabeth,-33.918,25.5701,73.4,88,20,5.75,ZA,1613103863
17,mehamn,71.0357,27.8492,19.4,73,0,18.41,NO,1613104065
18,dikson,73.5069,80.5464,-14.44,89,100,6.22,RU,1613103641
19,ilulissat,69.2167,-51.1,10.4,61,90,13.8,GL,1613103860
20,bredasdorp,-34.5322,20.0403,71.6,88,75,4.61,ZA,1613103570
21,san mateo del mar,16.2,-95.0,80.74,76,0,13.76,MX,1613104346
22,upernavik,72.7868,-56.1549,0.82,81,99,8.55,GL,1613103576
23,khatanga,71.9667,102.5,-27.24,86,97,5.97,RU,1613103827
24,ayr,55.4627,-4.6339,30.2,64,0,14.97,GB,1613104347
25,jamestown,42.097,-79.2353,12.2,79,20,8.05,US,1613103836
26,constitucion,-35.3333,-72.4167,59.36,90,99,7.34,CL,1613103555
27,batticaloa,7.7102,81.6924,77.99,74,80,6.53,LK,1613104347
28,nyurba,63.2842,118.3319,-14.87,87,4,4.94,RU,1613103899
29,hamilton,39.1834,-84.5333,21.2,68,40,8.05,US,1613103763
30,tongliao,43.6125,122.2653,34.0,89,27,6.26,CN,1613104347
31,high prairie,55.4334,-116.4858,-16.6,69,100,10.36,CA,1613104347
32,lorengau,-2.0226,147.2712,82.99,77,85,3.53,PG,1613103634
33,kokopo,-4.352,152.2633,82.36,75,85,9.84,PG,1613104348
34,barrow,71.2906,-156.7887,-40.0,82,90,8.05,US,1613103827
35,souillac,-20.5167,57.5167,82.4,65,40,9.22,MU,1613103558
36,east london,-33.0153,27.9116,71.6,100,75,5.75,ZA,1613103657
37,poros,37.4994,23.4536,53.01,62,0,3.09,GR,1613104348
38,bonavista,48.6499,-53.1147,25.0,93,100,11.5,CA,1613103882
39,goderich,43.7501,-81.7165,10.4,72,100,10.36,CA,1613103879
40,daru,-9.0763,143.2092,79.52,83,100,2.57,PG,1613104349
41,hermanus,-34.4187,19.2345,72.0,92,97,1.01,ZA,1613103620
42,cape town,-33.9258,18.4232,72.0,94,75,11.5,ZA,1613103738
43,bubaque,11.2833,-15.8333,76.46,65,0,14.43,GW,1613104076
44,tucurui,-3.7661,-49.6725,74.34,95,100,3.0,BR,1613104349
45,nichinan,31.6,131.3667,59.0,72,75,19.57,JP,1613104349
46,mirabad,30.4362,61.8383,69.12,22,100,4.05,AF,1613104349
47,tuatapere,-46.1333,167.6833,60.01,68,4,7.0,NZ,1613103853
48,hervey bay,-25.2986,152.8535,84.2,42,16,8.05,AU,1613103853
49,broken hill,-31.95,141.4333,82.4,44,40,9.22,AU,1613103652
50,leningradskiy,69.3833,178.4167,-14.78,87,100,12.5,RU,1613103833
51,bethel,41.3712,-73.414,23.0,58,1,3.44,US,1613103565
52,ribeira grande,38.5167,-28.7,60.24,78,100,24.56,PT,1613103846
53,dalbandin,28.8947,64.4101,65.62,24,96,2.91,PK,1613104348
54,rio gallegos,-51.6226,-69.2181,46.4,66,0,8.05,AR,1613103646
55,zhangjiakou,40.81,114.8794,42.46,48,46,2.55,CN,1613104351
56,lagoa,39.05,-27.9833,59.05,83,100,21.3,PT,1613103842
57,port lincoln,-34.7333,135.8667,67.71,56,85,13.42,AU,1613103643
58,kankan,10.3854,-9.3057,69.03,23,74,1.41,GN,1613104351
59,albany,42.6001,-73.9662,15.01,62,20,9.22,US,1613103822
60,severobaykalsk,55.65,109.3167,0.55,81,100,8.1,RU,1613104329
61,punta arenas,-53.15,-70.9167,46.4,71,20,9.22,CL,1613103538
62,provideniya,64.3833,-173.3,-2.2,65,90,38.03,RU,1613103667
63,howard springs,-12.497,131.047,89.6,66,75,19.57,AU,1613104352
64,qaanaaq,77.484,-69.3632,6.12,70,0,8.19,GL,1613103839
65,xining,36.6167,101.7667,41.34,53,100,0.98,CN,1613104352
66,kavaratti,10.5669,72.642,82.02,58,42,6.2,IN,1613104352
67,tecoanapa,16.5167,-98.75,73.85,83,3,6.31,MX,1613104353
68,kavieng,-2.5744,150.7967,82.98,73,76,2.84,PG,1613103863
69,vaini,-21.2,-175.2,86.0,79,20,5.75,TO,1613103818
70,odweyne,9.4092,45.064,66.92,27,93,5.06,SO,1613104353
71,nuevo casas grandes,30.4167,-107.9167,50.32,45,0,1.34,MX,1613104353
72,port alfred,-33.5906,26.891,71.01,96,98,10.78,ZA,1613103835
73,kamaishi,39.2667,141.8833,41.0,42,0,4.61,JP,1613104353
74,kapaa,22.0752,-159.319,73.4,56,1,4.61,US,1613103578
75,haines junction,60.7522,-137.5108,-25.6,68,0,1.01,CA,1613104354
76,hobart,-42.8794,147.3294,73.4,38,0,19.57,AU,1613103819
77,caravelas,-17.7125,-39.2481,75.18,85,100,4.59,BR,1613103895
78,wilmington,34.2257,-77.9447,48.99,93,90,10.36,US,1613104292
79,wladyslawowo,54.7909,18.4009,23.0,63,75,8.05,PL,1613104354
80,san cristobal,7.7669,-72.225,65.66,84,61,1.34,VE,1613104007
81,sao filipe,14.8961,-24.4956,71.46,66,0,9.91,CV,1613103870
82,ambon,-3.6954,128.1814,91.4,62,40,8.05,ID,1613103913
83,clyde river,70.4692,-68.5914,3.2,92,99,23.02,CA,1613103622
84,koumac,-20.5667,164.2833,80.89,69,50,8.01,NC,1613104355
85,kampene,-3.6,26.6667,69.03,97,99,1.63,CD,1613104355
86,hobyo,5.3505,48.5268,75.94,72,100,16.71,SO,1613103866
87,carnarvon,-24.8667,113.6333,78.8,78,70,16.11,AU,1613103821
88,ushuaia,-54.8,-68.3,46.4,71,20,9.22,AR,1613103662
89,marquelia,16.5833,-98.8167,73.42,81,3,5.5,MX,1613104356
90,berlevag,70.8578,29.0864,19.4,73,0,18.41,NO,1613104080
91,severo-kurilsk,50.6789,156.125,30.54,92,85,2.75,RU,1613103888
92,katsuura,35.1333,140.3,54.0,49,100,6.26,JP,1613103845
93,lebu,-37.6167,-73.65,59.22,94,2,15.17,CL,1613103834
94,ostashkov,57.1467,33.1075,0.14,92,100,9.44,RU,1613104356
95,saint-leu,-21.15,55.2833,82.99,60,100,4.85,RE,1613103881
96,broome,42.2506,-75.833,10.4,85,1,6.91,US,1613103589
97,zonguldak,41.25,31.8333,47.21,73,100,6.02,TR,1613104078
98,vila franca do campo,37.7167,-25.4333,61.0,88,40,26.46,PT,1613103848
99,hasaki,35.7333,140.8333,54.0,50,75,5.75,JP,1613104064
100,hithadhoo,-0.6,73.0833,81.61,77,88,12.1,MV,1613103852
101,birin,26.8865,88.0718,63.79,41,2,5.55,NP,1613104357
102,torbay,47.6666,-52.7314,24.01,93,90,27.63,CA,1613103837
103,alofi,-19.0595,-169.9187,84.2,74,100,12.66,NU,1613103825
104,maun,-19.9833,23.4167,69.8,100,75,2.3,BW,1613104357
105,kottagudem,17.55,80.6333,83.52,37,1,7.99,IN,1613104358
106,thompson,55.7435,-97.8558,-40.0,74,1,3.44,CA,1613103564
107,port augusta,-32.5,137.7667,81.0,60,75,14.97,AU,1613104358
108,pasni,25.2631,63.471,72.9,46,0,3.56,PK,1613103830
109,abu dhabi,24.4667,54.3667,62.6,100,75,3.44,AE,1613104220
110,nefteyugansk,61.0998,72.6035,-27.4,68,0,6.71,RU,1613104359
111,nanortalik,60.1432,-45.2371,28.17,89,100,11.79,GL,1613103613
112,pisco,-13.7,-76.2167,75.2,73,40,3.44,PE,1613104018
113,iqaluit,63.7506,-68.5145,-0.4,78,90,14.97,CA,1613103854
114,punta alta,-38.8759,-62.0736,70.68,70,0,11.05,AR,1613104073
115,bayangol,50.6977,103.4656,0.95,85,89,3.13,RU,1613104360
116,cidreira,-30.1811,-50.2056,74.5,80,94,11.92,BR,1613103843
117,upata,8.0086,-62.3989,75.99,87,27,1.99,VE,1613104360
118,timmins,48.4669,-81.3331,-16.6,69,1,2.3,CA,1613103629
119,richards bay,-28.783,32.0377,73.56,90,75,2.95,ZA,1613103830
120,iracoubo,5.4802,-53.2011,77.47,87,64,13.33,GF,1613104360
121,loreto,22.2667,-101.9667,48.61,44,0,4.72,MX,1613104360
122,zhigansk,66.7697,123.3711,-4.22,91,99,4.74,RU,1613104078
123,guerrero negro,27.9769,-114.0611,59.34,84,0,12.86,MX,1613103857
124,mitsamiouli,-11.3847,43.2844,82.38,77,98,16.04,KM,1613103889
125,mokhsogollokh,61.4681,128.9203,1.87,91,100,2.15,RU,1613104361
126,touros,-5.1989,-35.4608,78.8,83,40,4.61,BR,1613103827
127,longyearbyen,78.2186,15.6401,8.6,66,75,13.8,SJ,1613103828
128,arraial do cabo,-22.9661,-42.0278,76.23,88,100,16.24,BR,1613103668
129,port hardy,50.6996,-127.4199,33.8,47,75,21.85,CA,1613103618
130,puerto ayora,-0.7393,-90.3518,75.0,98,82,8.97,EC,1613103627
131,matara,5.9485,80.5353,84.83,60,18,3.31,LK,1613104362
132,umm kaddadah,13.6017,26.6876,68.29,30,0,13.42,SD,1613104362
133,along,28.1667,94.7667,77.36,27,0,1.19,IN,1613104362
134,pacific grove,36.6177,-121.9166,55.4,88,90,3.44,US,1613103899
135,rassvet,46.8333,40.75,45.55,75,100,14.32,RU,1613104362
136,liku,-0.7275,119.8922,88.41,59,90,5.14,ID,1613104363
137,jucuaran,13.2539,-88.2478,62.76,100,2,2.08,SV,1613104363
138,bambous virieux,-20.3428,57.7575,84.0,65,40,9.22,MU,1613103873
139,marawi,7.9986,124.2928,77.7,79,80,4.0,PH,1613103883
140,tiksi,71.6872,128.8694,-8.05,89,59,5.44,RU,1613103633
141,kahului,20.8947,-156.47,75.2,60,20,10.36,US,1613103861
142,busselton,-33.65,115.3333,73.08,41,0,1.97,AU,1613103821
143,saint george,37.1041,-113.5841,57.0,35,1,1.16,US,1613103834
144,butaritari,3.0707,172.7902,81.82,77,0,12.73,KI,1613103559
145,mahebourg,-20.4081,57.7,82.4,65,40,9.22,MU,1613103731
146,vao,-22.6667,167.4833,77.47,76,10,3.98,NC,1613104364
147,aklavik,68.2191,-135.0107,1.4,78,100,8.05,CA,1613103593
148,yellowknife,62.456,-114.3525,-14.01,76,1,5.75,CA,1613103824
149,pevek,69.7008,170.3133,-24.03,84,48,2.55,RU,1613103558
150,nikolskoye,59.7035,30.7861,3.99,85,75,11.18,RU,1613103833
151,wahiawa,21.5028,-158.0236,77.0,68,75,8.05,US,1613104365
152,qui nhon,13.7667,109.2333,71.65,70,84,14.67,VN,1613104261
153,labuhan,-6.8844,112.2051,83.41,77,95,6.31,ID,1613104019
154,panjakent,39.4952,67.6093,51.8,37,85,6.91,TJ,1613104365
155,maragogi,-9.0122,-35.2225,76.8,82,28,6.15,BR,1613104365
156,ulladulla,-35.35,150.4667,78.01,65,0,9.22,AU,1613103645
157,koutsouras,35.0339,25.9469,55.99,56,0,5.46,GR,1613104366
158,ponta delgada,37.7333,-25.6667,61.0,88,40,26.46,PT,1613104046
159,nykoping,58.753,17.0079,8.6,85,0,9.22,SE,1613104366
160,batemans bay,-35.7167,150.1833,71.01,87,100,1.01,AU,1613103602
161,ucluelet,48.9329,-125.5528,36.0,61,90,11.95,CA,1613104361
162,maumere,-8.6199,122.2111,84.47,69,98,1.03,ID,1613103645
163,lata,40.1629,-8.3327,57.0,93,24,1.01,PT,1613104064
164,bengkulu,-3.8004,102.2655,84.79,64,97,6.76,ID,1613103875
165,sept-iles,50.2001,-66.3821,23.0,74,75,3.44,CA,1613104069
166,cherskiy,68.75,161.3,-22.09,86,0,0.34,RU,1613103852
167,privolnaya,46.1371,38.6951,45.79,83,100,8.55,RU,1613104367
168,horta,38.5333,-28.6333,59.27,81,100,15.61,PT,1613104367
169,jequitinhonha,-16.4339,-41.0033,68.32,89,76,2.28,BR,1613104367
170,maniitsoq,65.4167,-52.9,13.1,85,0,8.39,GL,1613104368
171,alyangula,-13.8483,136.4192,86.0,70,40,8.05,AU,1613103870
172,airai,-8.9266,125.4092,73.09,84,51,2.08,TL,1613103833
173,tuktoyaktuk,69.4541,-133.0374,-7.6,77,75,4.61,CA,1613103828
174,sawtell,-30.3833,153.1,84.99,65,86,21.85,AU,1613104368
175,acajutla,13.5928,-89.8275,76.51,75,1,5.28,SV,1613103787
176,huarmey,-10.0681,-78.1522,72.81,74,95,7.43,PE,1613104085
177,kailahun,8.2833,-10.5667,68.74,98,81,1.16,SL,1613104369
178,coldstream,55.6511,-2.2529,35.6,69,75,2.91,GB,1613104369
179,guayama,17.9841,-66.1138,75.99,81,3,7.0,PR,1613104369
180,la ronge,55.1001,-105.2842,-14.8,70,100,6.91,CA,1613104369
181,lompoc,34.6391,-120.4579,51.8,82,1,10.36,US,1613104044
182,igarka,67.4667,86.5833,-25.4,83,1,1.1,RU,1613104369
183,cabo san lucas,22.8909,-109.9124,64.0,77,1,3.44,MX,1613103657
184,nampa,43.5407,-116.5635,33.01,100,90,2.3,US,1613104370
185,bonthe,7.5264,-12.505,77.41,89,100,4.36,SL,1613103719
186,ust-omchug,61.15,149.6333,8.19,89,76,4.63,RU,1613103895
187,mareeba,-17.0,145.4333,82.99,94,75,5.75,AU,1613104076
188,emerald,-23.5333,148.1667,89.6,40,75,8.05,AU,1613104370
189,goundam,16.4145,-3.6708,71.22,17,33,11.95,ML,1613104370
190,boyolangu,-8.1181,111.8935,84.38,72,29,7.49,ID,1613104370
191,kodiak,57.79,-152.4072,39.2,87,90,34.52,US,1613103616
192,kruisfontein,-34.0033,24.7314,75.0,86,100,3.53,ZA,1613103820
193,fortuna,40.5982,-124.1573,48.99,100,90,3.44,US,1613103852
194,ilula,-7.6766,36.0366,62.6,94,75,4.27,TZ,1613104371
195,lufilufi,-13.8745,-171.5986,87.8,74,75,3.44,WS,1613104371
196,solnechnyy,50.7214,136.6319,18.36,92,100,2.98,RU,1613104371
197,the valley,18.217,-63.0578,75.0,88,90,14.97,AI,1613104061
198,turayf,31.6725,38.6637,39.2,93,0,4.61,SA,1613103896
199,russkaya polyana,49.417,31.9201,15.8,95,100,18.41,UA,1613104372
200,georgetown,5.4112,100.3354,89.6,62,20,4.61,MY,1613103843
201,kununurra,-15.7667,128.7333,91.4,62,75,6.91,AU,1613104372
202,avarua,-21.2078,-159.775,84.2,65,47,2.3,CK,1613103837
203,novi banovci,44.9547,20.2819,21.99,68,75,11.5,RS,1613104372
204,tarauaca,-8.1614,-70.7656,70.97,98,100,1.54,BR,1613104372
205,tasiilaq,65.6145,-37.6368,19.4,79,75,25.32,GL,1613103555
206,santa lucia,27.9117,-15.5407,64.4,77,75,12.66,ES,1613104372
207,ponta do sol,32.6667,-17.1,57.99,71,22,1.99,PT,1613103843
208,sergeyevka,53.88,67.4158,-2.96,91,31,5.82,KZ,1613104373
209,luderitz,-26.6481,15.1594,64.15,88,32,1.5,NA,1613103834
210,san patricio,28.017,-97.5169,39.2,93,90,14.97,US,1613103642
211,vestmannaeyjar,63.4427,-20.2734,42.33,65,100,38.68,IS,1613103845
212,terrace,54.5163,-128.6035,10.4,37,1,16.11,CA,1613104373
213,severodvinsk,64.5635,39.8302,-16.6,76,90,2.48,RU,1613104373
214,palmerston north,-40.35,175.6167,71.01,59,54,3.0,NZ,1613104316
215,ibague,4.4389,-75.2322,66.69,72,100,3.89,CO,1613104200
216,wembley,-31.9333,115.8,82.99,34,0,8.05,AU,1613104374
217,kieta,-6.2167,155.6333,82.04,78,100,12.1,PG,1613104036
218,wagar,16.1525,36.2032,65.82,84,0,5.64,SD,1613104086
219,piet retief,-27.0071,30.8132,62.01,93,60,4.43,ZA,1613104374
220,ixtapa,20.7,-105.2,69.01,94,90,3.44,MX,1613104026
221,deputatskiy,69.3,139.9,-6.12,87,100,3.15,RU,1613103890
222,geraldton,-28.7667,114.6,89.6,29,0,17.27,AU,1613103658
223,rio grande,-32.035,-52.0986,73.99,90,100,1.01,BR,1613103999
224,castro,-24.7911,-50.0119,61.99,98,100,7.16,BR,1613103844
225,imbituba,-28.24,-48.6703,71.6,94,75,2.3,BR,1613103818
226,vardo,70.3705,31.1107,15.8,92,90,16.11,NO,1613103823
227,itarema,-2.9248,-39.9167,78.94,82,94,11.39,BR,1613103890
228,tromso,69.6496,18.957,33.8,64,75,21.85,NO,1613104220
229,qarqin,37.4185,66.0436,66.06,26,48,14.83,AF,1613104376
230,kalmunai,7.4167,81.8167,76.42,77,96,8.34,LK,1613104054
231,chuy,-33.6971,-53.4616,69.75,92,100,12.53,UY,1613103844
232,jawhar,2.7809,45.5005,75.74,75,36,14.88,SO,1613104376
233,falam,22.9167,93.6833,73.13,21,0,2.89,MM,1613104376
234,fallon,39.4735,-118.7774,48.2,61,90,8.05,US,1613104376
235,paita,-5.0892,-81.1144,74.64,82,75,8.34,PE,1613104279
236,pangnirtung,66.1451,-65.7125,-14.75,82,22,0.22,CA,1613103866
237,doha,25.2867,51.5333,68.0,68,0,5.75,QA,1613104377
238,ahipara,-35.1667,173.1667,68.79,61,0,10.85,NZ,1613103559
239,sorong,-0.8833,131.25,85.15,69,14,5.3,ID,1613104301
240,vallenar,-28.5708,-70.7581,60.55,80,0,0.92,CL,1613104377
241,vanersborg,58.3807,12.3234,-2.2,77,0,3.44,SE,1613104377
242,milkovo,54.7167,158.6167,13.08,94,95,4.29,RU,1613104377
